Name,Team,Position,ByeWeek,Age,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPoints,AverageDraftPosition
Todd Gurley,LAR,RB,12,23,0,0,0,1286,11,65,592,3,267.8,1.7
Le'Veon Bell,PIT,RB,7,26,0,0,0,1308,9,79,632,3,262,2.2
Ezekiel Elliott,DAL,RB,8,22,0,0,0,1412,11,43,371,2,254.3,3.8
David Johnson,ARI,RB,9,26,0,0,0,1107,9,72,698,3,246.5,4.1
Antonio Brown,PIT,WR,7,30,0,0,0,8,0,106,1466,9,201.4,5.4
Saquon Barkley,NYG,RB,9,21,0,0,0,1140,7,53,417,2,207.7,6.2
Alvin Kamara,NO,RB,6,22,0,0,0,837,7,75,705,4,218.2,6.4
Leonard Fournette,JAX,RB,9,23,0,0,0,1139,10,37,304,1,208.3,8.2
DeAndre Hopkins,HOU,WR,10,26,0,0,0,0,0,96,1342,10,192.2,9.2
Melvin Gordon,LAC,RB,8,25,0,0,0,1060,8,53,438,3,213.8,9.8
Kareem Hunt,KC,RB,12,22,0,0,0,1111,8,52,419,2,209,10.4
Odell Beckham Jr,NYG,WR,9,25,0,0,0,14,0,93,1249,8,172.3,12.1
Dalvin Cook,MIN,RB,10,22,0,0,0,1121,7,44,359,2,198,12.7
Julio Jones,ATL,WR,8,29,0,0,0,3,0,93,1420,7,184.3,14.4
Michael Thomas,NO,WR,6,25,0,0,0,0,0,101,1254,8,173.4,15.5
Devonta Freeman,ATL,RB,8,26,0,0,0,942,8,42,353,2,187.5,16.4
Jerick McKinnon,SF,RB,11,26,0,0,0,857,6,54,423,2,172,17
Davante Adams,GB,WR,7,25,0,0,0,0,0,90,1127,9,166.7,18.3
Keenan Allen,LAC,WR,8,26,0,0,0,3,0,96,1235,8,171.8,18.6
LeSean McCoy,BUF,RB,11,30,0,0,0,993,6,49,373,2,182.6,19.3
Jordan Howard,CHI,RB,5,23,0,0,0,1062,8,25,182,1,176.4,19.5
AJ Green,CIN,WR,9,29,0,0,0,0,0,84,1181,8,164.1,21.4
Rob Gronkowski,NE,TE,11,29,0,0,0,0,0,72,1123,8,160.3,21.9
Joe Mixon,CIN,RB,9,21,0,0,0,917,6,39,331,1,162.8,22.3
Christian McCaffrey,CAR,RB,4,22,0,0,0,608,4,73,628,4,169.6,24.5
Mike Evans,TB,WR,5,24,0,0,0,0,0,82,1164,8,164.4,25.4
Derrick Henry,TEN,RB,8,23,0,0,0,907,7,20,178,1,154.5,26.5
Doug Baldwin,SEA,WR,7,29,0,0,0,4,0,88,1134,8,161.8,28
Aaron Rodgers,GB,QB,7,34,4083,33,10,303,2,0,0,0,317.62,28.2
Josh Gordon,CLE,WR,11,27,0,0,0,5,0,67,1004,6,136.9,29.6
Derrius Guice,WAS,RB,4,21,0,0,0,897,6,25,199,1,147.6,30.7
Tyreek Hill,KC,WR,12,24,0,0,0,103,1,76,1019,6,154.2,31.1
Travis Kelce,KC,TE,12,28,0,0,0,7,0,81,1006,5,131.3,32.1
Jay Ajayi,PHI,RB,9,25,0,0,0,916,6,25,188,1,148.4,32.8
T.Y. Hilton,IND,WR,9,28,0,0,0,0,0,75,1154,7,155.4,33.2
