Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
Aaron Rodgers,GB,QB,16,4434,30,7,316,5,0,0,0,4,21.4,342.96
Chris Johnson,TEN,RB,16,0,0,0,2006,14,50,503,2,3,21.4,342.9
Drew Brees,NO,QB,15,4388,34,11,33,2,1,-4,0,6,19.5,292.42
Brett Favre,MIN,QB,16,4202,33,7,7,0,1,-2,0,2,17.7,282.58
Matt Schaub,HOU,QB,16,4770,29,15,57,0,0,0,0,2,17.5,280.5
Peyton Manning,IND,QB,16,4500,33,16,-13,0,0,0,0,0,17.4,278.7
Adrian Peterson,MIN,RB,16,0,0,0,1383,18,43,436,0,6,17.4,277.9
Tony Romo,DAL,QB,16,4483,26,9,105,1,0,0,0,4,17.1,273.82
Maurice Jones-Drew,JAX,RB,16,0,0,0,1391,15,53,374,1,1,16.9,270.5
Tom Brady,NE,QB,16,4398,28,13,44,1,0,0,0,2,16.9,270.32
Philip Rivers,LAC,QB,16,4254,28,9,50,1,0,0,0,3,16.8,269.16
Ben Roethlisberger,PIT,QB,15,4328,26,12,82,2,0,0,0,3,17.8,267.32
Ray Rice,BAL,RB,16,0,0,0,1339,7,78,702,1,3,15.4,246.1
Donovan McNabb,PHI,QB,14,3553,22,10,140,2,1,1,0,3,16.7,234.22
Eli Manning,NYG,QB,16,4021,27,14,65,0,0,0,0,8,14.5,231.34
Thomas Jones,NYJ,RB,16,0,0,0,1402,14,10,58,0,0,14.4,230
Jay Cutler,CHI,QB,16,3666,27,26,173,1,0,0,0,1,14.2,227.94
Frank Gore,SF,RB,14,0,0,0,1120,10,52,406,3,2,16.2,226.6
David Garrard,JAX,QB,16,3597,15,10,323,3,0,0,0,8,13.8,220.18
Jason Campbell,WAS,QB,16,3618,20,15,236,1,0,0,0,3,13.6,218.32
Kyle Orton,DEN,QB,16,3802,21,12,71,0,0,0,0,2,13.4,215.18
Kurt Warner,ARI,QB,15,3753,26,14,10,0,0,0,0,6,14.3,215.12
Andre Johnson,HOU,WR,16,0,0,0,10,0,101,1569,9,0,13.4,213.9
Ricky Williams,MIA,RB,16,0,0,1,1121,11,35,264,2,2,13.3,212.5
Carson Palmer,CIN,QB,16,3094,21,13,93,3,0,0,0,2,13.1,209.06
Ryan Grant,GB,RB,16,0,0,0,1253,11,25,197,0,1,13.1,209
Joe Flacco,BAL,QB,16,3613,21,12,56,0,0,0,0,2,12.9,206.12
Randy Moss,NE,WR,16,0,0,0,0,0,83,1264,13,1,12.8,204.4
Miles Austin,DAL,WR,16,0,0,0,-2,0,81,1320,11,0,12.4,197.8
Joseph Addai,IND,RB,15,22,1,0,828,10,51,336,3,1,13.2,197.28
Steven Jackson,LAR,RB,15,0,0,0,1416,4,51,322,0,2,12.9,193.8
Jonathan Stewart,CAR,RB,16,0,0,0,1133,10,18,139,1,2,11.8,189.2
DeSean Jackson,PHI,WR,15,0,0,0,137,1,62,1156,9,1,12.5,187.3
Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,97,1092,13,0,11.7,187.2
Jamaal Charles,KC,RB,15,0,0,0,1120,7,40,297,1,3,12.4,185.7
Reggie Wayne,IND,WR,16,0,0,1,0,0,100,1264,10,0,11.5,184.4
Matt Ryan,ATL,QB,14,2916,22,14,49,1,0,0,0,2,13.1,183.54
Roddy White,ATL,WR,16,0,0,0,2,0,85,1153,11,0,11.3,181.5
