Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
Donte' Stallworth,NE,WR,1,20,20,26.3,0,10,5,10,12.3,61.5
Andre Brown,NYG,RB,10,226,22.6,31.1,32.3,7.5,37.6,39.8,97.1,43
Adrian Peterson,MIN,RB,16,771,48.2,74.5,45.1,6.6,50.3,51.8,307.4,39.9
CJ Spiller,BUF,RB,16,569,35.6,56.3,36.4,10,43.9,46.4,212.3,37.3
Marshawn Lynch,SEA,RB,16,674,42.1,66.3,46.7,4.5,50.1,51.2,246.6,36.6
Terrelle Pryor,OAK,WR,3,70,23.3,6.5,14.3,1.4,58.6,58.6,25.5,36.4
Stevan Ridley,NE,RB,16,550,34.4,44.4,52.7,2.5,53.8,55.3,199.4,36.3
Jamaal Charles,KC,RB,16,577,36.1,54.8,49.4,8.3,55.5,57.7,204.5,35.4
Kirk Cousins,WAS,QB,3,95,31.7,9.2,3.2,0,53.7,53.7,32.84,34.6
Robert Griffin III,WAS,QB,15,938,62.5,90.8,12.8,0.1,54.7,54.8,317.5,33.8
Alfred Morris,WAS,RB,16,727,45.4,70.4,46.1,2.2,47.6,48.3,241,33.1
Colin Kaepernick,SF,QB,13,526,40.5,52.3,12,0,53.4,53.4,174.06,33.1
Michael Turner,ATL,RB,16,476,29.8,44.9,46.6,6.3,50.6,52.9,156.8,32.9
Aaron Rodgers,GB,QB,16,1071,66.9,97.1,5,0.1,56.7,56.7,343.6,32.1
Doug Martin,TB,RB,16,821,51.3,78.3,38.9,8.5,44.8,47.4,262.6,32
Darren Sproles,NO,RB,13,444,34.2,40.1,10.8,23.4,27.7,34.2,141.1,31.8
Cam Newton,CAR,QB,16,1021,63.8,99.1,12.4,0,59.9,59.9,323.46,31.7
Drew Brees,NO,QB,16,1094,68.4,98.8,1.4,0,62.6,62.6,345.58,31.6
Arian Foster,HOU,RB,16,830,51.9,73.6,42.3,7,47.1,49.3,262.1,31.6
DeAngelo Williams,CAR,RB,16,418,26.1,40.6,41.4,4.8,44.5,46.2,130.4,31.2
Reggie Bush,MIA,RB,16,573,35.8,55.3,39.6,8.9,45.7,48.5,171.8,30
Shonn Greene,NYJ,RB,16,568,35.5,52.9,48.6,5.5,51.9,54,167.4,29.5
Matt Ryan,ATL,QB,16,1050,65.6,99.1,3.2,0,61.8,61.8,304.86,29
Trent Richardson,CLE,RB,15,702,46.8,68.1,38,10,45.3,48,203.7,29
Willis McGahee,DEN,RB,10,391,39.1,57.2,42.7,8.4,49.4,51.2,113.2,29
Russell Wilson,SEA,QB,16,979,61.2,96.4,9.6,0,49.7,49.7,275.62,28.2
Mikel Leshoure,DET,RB,14,529,37.8,49.5,40.6,9.1,47.1,49.7,149.2,28.2
Tom Brady,NE,QB,16,1215,75.9,98.1,1.9,0,54.3,54.3,340.28,28
Peyton Manning,DEN,QB,16,1110,69.4,97.1,2.1,0,54.6,54.6,310.96,28
Frank Gore,SF,RB,16,729,45.6,72.5,35.4,4.9,39.2,40.3,202.8,27.8
Danny Woodhead,NE,RB,16,420,26.2,33.9,18.1,13.1,27.6,31.2,116.7,27.8
James Starks,GB,RB,6,125,20.8,11.3,56.8,4.8,60,61.6,34.6,27.7
Ray Rice,BAL,RB,16,811,50.7,74.3,31.7,10.2,39.2,41.9,222.1,27.4
Joique Bell,DET,RB,16,382,23.9,31.9,21.5,18.1,35.1,39.5,103.9,27.2
Knowshon Moreno,DEN,RB,8,338,42.2,29.6,40.8,7.7,47,48.5,91.2,27
Ben Roethlisberger,PIT,QB,13,834,64.2,78.2,3.1,0,57,57,223.8,26.8
Ahmad Bradshaw,NYG,RB,14,600,42.9,58.8,36.8,5.2,40.7,42,156,26
Maurice Jones-Drew,JAX,RB,6,240,40,24.3,35.8,7.5,41.7,43.3,62,25.8
Tony Romo,DAL,QB,16,1089,68.1,99,2.8,0.1,62.4,62.4,278.92,25.6
Matt Forte,CHI,RB,15,693,46.2,66.3,35.8,8.7,42.1,44.4,177.4,25.6
Kevin Boss,KC,TE,2,49,24.5,15.9,0,6.1,6.1,6.1,12.5,25.5
Alex Smith,SF,QB,16,484,30.2,48.2,6.4,0,51.4,51.4,122.68,25.3
Pierre Thomas,NO,RB,15,384,25.6,36.8,27.3,13.8,37.5,41.1,94.7,24.7
Fred Jackson,BUF,RB,10,331,33.1,40.5,34.7,12.7,45,47.4,81.4,24.6
Michael Crabtree,SF,WR,16,675,42.2,67.2,0.1,18.7,12.7,18.8,165.3,24.5
Andy Dalton,CIN,QB,16,1027,64.2,97.2,4.6,0,56,56,250.76,24.4
Felix Jones,DAL,RB,16,379,23.7,34.5,29.3,9.5,35.9,38.8,92.4,24.4
Randall Cobb,GB,WR,15,635,42.3,57.6,1.6,16.4,14.2,18,154.6,24.3
Ryan Mathews,LAC,RB,12,403,33.6,44.1,45.7,14.1,55.3,59.8,97.9,24.3
Kevin Kolb,ARI,QB,6,349,58.2,40.2,4.6,0,57,57,84.76,24.3
Josh Freeman,TB,QB,16,1037,64.8,98.9,3.8,0,57.6,57.6,248.5,24
Bryce Brown,PHI,RB,16,334,20.9,29.6,34.4,5.7,38.3,40.1,80,24
DeMarco Murray,DAL,RB,10,469,46.9,42.6,34.3,9,41.8,43.3,111.4,23.8
Pierre Garcon,WAS,WR,10,395,39.5,38.2,0.5,17,11.6,17.5,94.2,23.8
Andrew Luck,IND,QB,16,1169,73.1,100,5.3,0,58.9,58.9,276.46,23.6
Percy Harvin,MIN,WR,9,420,46.7,54.1,5.2,20.2,20,25.5,99.3,23.6
Carson Palmer,OAK,QB,15,953,63.5,88.2,1.9,0,61.2,61.2,224.32,23.5
Matthew Stafford,DET,QB,16,1180,73.8,98.4,3,0.1,64.7,64.7,275.58,23.4
Joe Flacco,BAL,QB,16,1002,62.6,91.8,3.2,0,56.2,56.2,234.88,23.4
Mohamed Sanu,CIN,WR,9,204,22.7,25.5,2.5,12.3,10.8,15.2,47.82,23.4
BenJarvus Green-Ellis,CIN,RB,15,652,43.5,61.7,42.6,4.4,46,47.1,151.8,23.3
Eli Manning,NYG,QB,16,1005,62.8,98.5,2,0,55.3,55.3,232.92,23.2
Santana Moss,WAS,WR,16,454,28.4,43.9,0.7,13.7,9.7,14.3,104.7,23.1
Isaac Redman,PIT,RB,14,309,22.1,29,35.6,7.4,41.7,43,71.4,23.1
Steven Jackson,LAR,RB,16,707,44.2,67.7,36.4,7.5,41.7,43.8,162.3,23
Lance Moore,NO,WR,15,608,40.5,54.9,0,17.1,10.7,17.1,140.1,23
Michael Vick,PHI,QB,10,667,66.7,59.2,9.3,0,61.9,61.9,151.68,22.7
Dez Bryant,DAL,WR,16,920,57.5,83.6,0.2,15,10.2,15.2,207.7,22.6
Danario Alexander,LAC,WR,10,480,48,76.8,0,12.9,7.9,13.1,107.8,22.5
