player,value
Todd Gurley (LAR - RB),$70
Le'Veon Bell (PIT - RB),$67
Antonio Brown (PIT - WR),$63
Ezekiel Elliott (DAL - RB),$59
David Johnson (ARI - RB),$58
DeAndre Hopkins (HOU - WR),$53
Julio Jones (ATL - WR),$50
Alvin Kamara (NO - RB),$45
Odell Beckham Jr. (NYG - WR),$44
Kareem Hunt (KC - RB),$42
Melvin Gordon (LAC - RB),$42
Leonard Fournette (JAC - RB),$41
Saquon Barkley (NYG - RB),$40
Michael Thomas (NO - WR),$39
Keenan Allen (LAC - WR),$39
Dalvin Cook (MIN - RB),$37
A.J. Green (CIN - WR),$37
Davante Adams (GB - WR),$36
Devonta Freeman (ATL - RB),$33
Rob Gronkowski (NE - TE),$33
Mike Evans (TB - WR),$32
T.Y. Hilton (IND - WR),$29
Tyreek Hill (KC - WR),$28
Christian McCaffrey (CAR - RB),$26
Jerick McKinnon (SF - RB),$26
Doug Baldwin (SEA - WR),$26
Aaron Rodgers (GB - QB),$25
Jordan Howard (CHI - RB),$25
Adam Thielen (MIN - WR),$24
Amari Cooper (OAK - WR),$24
Travis Kelce (KC - TE),$24
Stefon Diggs (MIN - WR),$23
LeSean McCoy (BUF - RB),$21
Joe Mixon (CIN - RB),$21
Demaryius Thomas (DEN - WR),$19
JuJu Smith-Schuster (PIT - WR),$19
Tom Brady (NE - QB),$18
Alex Collins (BAL - RB),$17
Derrick Henry (TEN - RB),$17
Larry Fitzgerald (ARI - WR),$17
Allen Robinson (CHI - WR),$17
Marvin Jones (DET - WR),$17
Brandin Cooks (LAR - WR),$17
Zach Ertz (PHI - TE),$17
Russell Wilson (SEA - QB),$16
Golden Tate (DET - WR),$16
Jay Ajayi (PHI - RB),$15
Alshon Jeffery (PHI - WR),$15
Josh Gordon (CLE - WR),$15
Kenyan Drake (MIA - RB),$14
Lamar Miller (HOU - RB),$14
Cam Newton (CAR - QB),$13
Chris Hogan (NE - WR),$12
Greg Olsen (CAR - TE),$12
Mark Ingram (NO - RB),$11
Sammy Watkins (KC - WR),$11
Evan Engram (NYG - TE),$11
Jimmy Graham (GB - TE),$11
Devin Funchess (CAR - WR),$10
Michael Crabtree (BAL - WR),$10
Jarvis Landry (CLE - WR),$10
Delanie Walker (TEN - TE),$10
Drew Brees (NO - QB),$9
Deshaun Watson (HOU - QB),$9
Tevin Coleman (ATL - RB),$9
Royce Freeman (DEN - RB),$9
Rex Burkhead (NE - RB),$9
Marlon Mack (IND - RB),$9
Marshawn Lynch (OAK - RB),$8
Dion Lewis (TEN - RB),$8
Kyle Rudolph (MIN - TE),$8
Carson Wentz (PHI - QB),$7
Isaiah Crowell (NYJ - RB),$7
Rashaad Penny (SEA - RB),$7
Marquise Goodwin (SF - WR),$7
Randall Cobb (GB - WR),$7
Robby Anderson (NYJ - WR),$7
Pierre Garcon (SF - WR),$7
Chris Thompson (WAS - RB),$6
Emmanuel Sanders (DEN - WR),$6
Robert Woods (LAR - WR),$6
Ronald Jones II (TB - RB),$5
Carlos Hyde (CLE - RB),$5
Jamaal Williams (GB - RB),$5
Cooper Kupp (LAR - WR),$5
Matthew Stafford (DET - QB),$4
Kirk Cousins (MIN - QB),$4
Kerryon Johnson (DET - RB),$4
Duke Johnson (CLE - RB),$4
Devontae Booker (DEN - RB),$4
Corey Davis (TEN - WR),$4
Kenny Stills (MIA - WR),$4
Jordan Reed (WAS - TE),$4
Jack Doyle (IND - TE),$4
Ben Roethlisberger (PIT - QB),$3
Alex Smith (WAS - QB),$3
Sony Michel (NE - RB),$3
Samaje Perine (WAS - RB),$3
Tarik Cohen (CHI - RB),$3
Ty Montgomery (GB - RB),$3
Rishard Matthews (TEN - WR),$3
Will Fuller (HOU - WR),$3
Marqise Lee (JAC - WR),$3
Devante Parker (MIA - WR),$3
Jamison Crowder (WAS - WR),$3
Nelson Agholor (PHI - WR),$3
Jordy Nelson (OAK - WR),$3
Trey Burton (CHI - TE),$3
Jacksonville Jaguars (JAC - DST),$3
Andrew Luck (IND - QB),$2
Jimmy Garoppolo (SF - QB),$2
Matt Ryan (ATL - QB),$2
Philip Rivers (LAC - QB),$2
C.J. Anderson (CAR - RB),$2
James White (NE - RB),$2
Bilal Powell (NYJ - RB),$2
Giovani Bernard (CIN - RB),$2
Corey Clement (PHI - RB),$2
Chris Carson (SEA - RB),$2
Sterling Shepard (NYG - WR),$2
Kelvin Benjamin (BUF - WR),$2
David Njoku (CLE - TE),$2
George Kittle (SF - TE),$2
Philadelphia Eagles (PHI - DST),$2
Baltimore Ravens (BAL - DST),$2
Los Angeles Rams (LAR - DST),$2
Los Angeles Chargers (LAC - DST),$2
Minnesota Vikings (MIN - DST),$2
Denver Broncos (DEN - DST),$2
Dak Prescott (DAL - QB),$1
Matt Breida (SF - RB),$1
Frank Gore (MIA - RB),$1
Doug Martin (OAK - RB),$1
Tyrell Williams (LAC - WR),$1
Tyler Eifert (CIN - TE),$1
Cameron Brate (TB - TE),$1
Jared Cook (OAK - TE),$1
Houston Texans (HOU - DST),$1
Carolina Panthers (CAR - DST),$1
Pittsburgh Steelers (PIT - DST),$1
Stephen Gostkowski (NE - K),$1
Greg Zuerlein (LAR - K),$1
Justin Tucker (BAL - K),$1
Chris Boswell (PIT - K),$1
Matt Bryant (ATL - K),$1
Harrison Butker (KC - K),$1
Wil Lutz (NO - K),$1
Jake Elliott (PHI - K),$1
Matt Prater (DET - K),$1
Robbie Gould (SF - K),$1
Jared Goff (LAR - QB),$0
Marcus Mariota (TEN - QB),$0
Patrick Mahomes (KC - QB),$0
